"date","retweets","isretweeted","length","favorites","ishealth","ispandemic","isvirus","isemergency","isdeaths","iswho","iscdc","isnih","isdisease","isquarantine","isrecover","isban","iscoronavirus","iscovid19","iswash","isracist","isasian","ischinese","isinfectious","ch.confirmed","it.confirmed","ot.confirmed","us.confirmed","ch.deaths","it.deaths","ot.deaths","us.deaths","fear","sadness","trust","disgust","negative","anticipation","joy","positive","anger","surprise"
2020-03-01,6,TRUE,144,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,0,0,0,0,0,0
2020-03-01,23,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,3,2,0,1,2,3,4,1,0
2020-03-01,110,TRUE,139,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,0,0,0
2020-03-01,2673,TRUE,140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,3,2,0,0,3,1,0,0,0,0
2020-03-01,765,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,1,0,1,0,0
2020-03-01,349,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,0,0,1,1,1,1,0,0
2020-03-01,103,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,1,1,0,2,0,1
2020-03-01,135,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,2,1,0,1,2,2,0,0,2,2
2020-03-01,223,TRUE,130,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,78,TRUE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,1,0,0,0,0,0
2020-03-01,61,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
2020-03-01,1053,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,1,1,0,0,0,0,0
2020-03-01,1032,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,1,0,0,0,0
2020-03-01,3586,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79932,1694,6669,74,2872,34,89,1,1,0,1,0,0,1,0,2,0,0
2020-03-01,218,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,1,0,1,2,1,0,2,1,1
2020-03-01,44,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,1,1,2,0,0
2020-03-01,50,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,1,1,1,2,2,1,2,2,2
2020-03-01,3,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,0,0,0
2020-03-01,2,FALSE,140,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,1,3,0,1,2,1,2,1,0
2020-03-01,20,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,1,1,0,0,0,0
